S‍amsung Electronics announces pricing and availability of new Samsung gear 360 in U.S., 24.05.2017
LOTVacuum signs contract worth 7.82 bln won, 20.04.2017
Samsung Electronics America announces pre-order and availability of Samsung galaxy book, 19.04.2017
Wonik IPS signs contract worth 33.3 bln won, 19.04.2017
Union Semiconductor Equipment signs contract worth 1.68 bln won, 19.04.2017
Tes signs contract worth 23.3 bln won, 17.04.2017
The Weather Company, Lyft to provide personalized recommendations for Samsung users, 11.04.2017
Comcast unveils new wireless service with unlimited data plan called Xfinity Mobile, 06.04.2017
Union Semiconductor Equipment signs 8.52 bln contract with Samsung Electronics, 06.04.2017
Apple has ordered 70 mln units of OLED panels from Samsung this year - Nikkei, citing sources, 03.04.2017
Eugene Technology signs 6.19 bln won contract with Samsung Electronics, 03.04.2017
Selvas AI signs 3.55 bln won contract with Samsung Electronics, 31.03.2017
Sprint says Samsung Galaxy S8 can be leased for $31.25/month for 18 months, 29.03.2017
AT&amp;T says offering Galaxy S8 at $25 for 30 months with eligible service, 29.03.2017
T-Mobile US says pre-order for Samsung Galaxy S8 at FRP $750, 29.03.2017
Verizon says pricing for Galaxy S8 without a trade-in is $30/month for 24 months, 29.03.2017
LOTVacuum signs 4.79 bln won contract with Samsung Electronics, 27.03.2017
DI signs 2.38 bln won contract with Samsung Electronics (Suzhou) Semiconductor, 16.03.2017
Union Semiconductor Equipment signs 2.46 bln won contract with Samsung Electronics, 16.03.2017
Samsung Elec bought AI company Viv Labs for $211.55 mln - regulatory filing, 28.02.2017
Samsung SDS signs contract worth 667.14 bln won, 27.02.2017
Technicolor files patent infringement litigation against Samsung, 15.02.2017
JP Morgan sees 4 pct demand growth in global display market for 2017-2019, 13.02.2017
Six Flags and Samsung announce renewed collaboration on virtual reality roller coasters, 08.02.2017
Samsung in talks with Murata Manufacturing for S8 batteries supply - Nikkei, 02.02.2017
DI signs 1.69 bln won contract with Samsung Electronics, 01.02.2017
Harman reports second quarter fiscal 2017 results, 26.01.2017
Samsung Elec says TV panel supply disrupted as Sharp halts supply, 24.01.2017
Samsung Elec says phone sales growth to offset higher costs, 24.01.2017
Samsung Electronics to pay annual dividend as 27,500 won/share for FY 2016, 24.01.2017
LOTVacuum signs contract worth 2.84 bln won, 16.01.2017
Samsung Electronics America says partners with Iqmetrix, 13.01.2017
Samsung Elec shares open lower; Samsung Group leader questioned by S.Korea prosecutors, 13.01.2017
Samsung Elec shares open lower; Samsung Group leader named suspect in S.Korea probe, 12.01.2017
Praxair starts fourth air separation plant at Samsung Electronics in South Korea, 09.01.2017
DI signs 3.05 bln won contract with Samsung Electronics, 03.01.2017
Lotvacuum signs 7.92 bln won contract with Samsung Electronics, 28.12.2016
Wonik Ips signs 51.65 bln won contract with Samsung Electronics, 26.12.2016
YEST signs 3.35 bln won contract with Samsung Electronics, 21.12.2016
TES signs 20.15 bln won contract with Samsung Electronics, 19.12.2016
KMW signs 6 bln won contract Samsung Electronics, 19.12.2016
Hon Hai-Sharp joint venture to stop LCD panels supply to Samsung- Nikkei, 14.12.2016
Samsung says new software update will prevent U.S. Galaxy Note7 devices from charging, 09.12.2016
Wonik IPS signs contract worth 21.9 bln won, 09.12.2016
Samsung Canada announces update on return and exchange of Note7 devices, 07.12.2016
Western Digital Corp renews patent cross-license agreement with Samsung&lt;005930.KS&gt;&lt;WDC.O&gt;, 06.12.2016
Samsung Elec says on track for 2016 operating profit growth, 29.11.2016
LOTVacuum signs contract worth 4.7 bln won, 18.11.2016
Qualcomm and Samsung collaborate on 10nm process technology, 17.11.2016
Harman International says deal with Samsung provides termination fee of $240 mln, 14.11.2016
Samsung Electronics unit Samsung Electronics America to raise 9,338.49 bln won via rights issue, 14.11.2016
Samsung Electronics to acquire Harman for $8 bln, 14.11.2016
LOTVacuum signs contract worth 1.37 bln won, 10.11.2016
Tes signs 16.65 bln won worth of contract with Samsung Electronics, 08.11.2016
Wonik IPS signs 22.8 bln won worth of contract with Samsung Electronics, 08.11.2016
Samsung Electronics America says nearly 85 pct of all recalled Galaxy Note7 devices have been replaced, 04.11.2016
Samsung Electronics America announces voluntary recall of certain top-load washers, 04.11.2016
Samsung and TiVo reach terms on intellectual property agreement, 03.11.2016
Samsung Electronics America announces forthcoming preorder availability of Gear S3, 03.11.2016
Samsung BioLogics says its IPO valued at $1.97 bln, 28.10.2016
Samsung Elec says plans NAND chip production in new S.Korea plant, 27.10.2016
Samsung Elec says aims to improve mobile shipments in Q4 vs Q3, 27.10.2016
Apple CFO says &#39;impossible to know&#39; effect of Samsung Note 7 recall on iPhone demand, 25.10.2016
T-Mobile US CEO says AT&amp;T-Time Warner deal &quot; a bold move and certainly a long road to go before it is completed &quot; - Conf call, 24.10.2016
Samsung Elec says report of its planned acquisition of Focal not true, 24.10.2016
Samsung in talks with LG Chem on using its batteries for new phones -Nikkei, 20.10.2016
Samsung Electronics America Inc expands availability of Samsung Gear 360 360-degree camera, 17.10.2016
Samsung says working to convey U.S. Department of Transportation’s order to ban Galaxy Note7 in flights, 14.10.2016
U.S. aviation regulators will unveil new restrictions banning Samsung Note 7 phones on flights - Bloomberg, 14.10.2016
Samsung Electronics Canada announces refund and exchange options for Note7 devices, 13.10.2016
Moody&#39;s says Samsung Electronics&#39; Galaxy Note 7 production halt is credit negative, 13.10.2016
U.S. CPSC says Samsung expands recall of Galaxy Note7 smartphones, 13.10.2016
Fitch says reputation risk bigger than cost impact of Samsung recall, 13.10.2016
BRIEF-Elliott Management affiliates say Note 7 issues do not change Samsung view, 12.10.2016
Royal Mail and Parcelforce unable to accept posting of Galaxy Note 7 phones due to recent concerns, 12.10.2016
U.S. CPSC Chairman Kaye says consumers should power down and stop using all Galaxy Note7s, 10.10.2016
Samsung working with U.S. CPSC to investigate cases involving Galaxy Note7, 10.10.2016
Best Buy Co says it stopped selling all Samsung Note 7 phones, 10.10.2016
Australia&#39;s Optus temporarily halting Galaxy Note 7 distribution, 10.10.2016
T-Mobile suspends sales and exchanges of Samsung Galaxy note 7 devices- CNBC, 09.10.2016
AT&amp;T says it is no longer exchanging new Note 7s at this time, 09.10.2016
U.S. appeals court revives $120 million patent verdict against Samsung and in favor of Apple&lt;005930.KS&gt;&lt;AAPL.O&gt;, 07.10.2016
Samsung Elec shares open up 0.5 pct; Q3 guidance beats estimates, 07.10.2016
CPSC says is investigating Southwest incident, 05.10.2016
U.S.FAA says confirmed it was Samsung phone that caused smoke on Southwest flight, 05.10.2016
Southwest Airlines says prior to flight 994 departing from Louisville for Baltimore,customer reported smoke emitting from Samsung electronic device, 05.10.2016
Samsung says no evidence that Southwest incident related to new Note 7- CNBC, 05.10.2016
Replacement Samsung Galaxy Note 7 phone catches fire on Southwest plane- Verge, citing Southwest Airlines spokesperson, 05.10.2016
Samsung Electronics says in discussions with the CPSC on some top-load washing machines, 29.09.2016
U.S. CPSC - Working with Samsung to address safety issues related to washing machines, 28.09.2016
Samsung and Hewlett Packard announced a partnership, 28.09.2016
Samsung Electronics says over 500,000 new Galaxy Note7 replacement devices arrive in U.S., 20.09.2016
Sprint Samsung Galaxy Note7 customers can get replacement devices beginning next week, 15.09.2016
Samsung phones must be off and unplugged during flights - U.S. FAA, 15.09.2016
Consumer safety agency plans recall of Samsung Galaxy Note 7 - CNBC, 15.09.2016
Samsung Electronics sells all its shares in Sharp - Nikkei&lt;005930.KS&gt;&lt;6753.T&gt;, 14.09.2016
Samsung Electronics to divest printing solution business into new unit, 12.09.2016
HP Inc agrees to buy Samsung Electronics&#39;s printer business, 12.09.2016
Samsung engages with safety commission after Note7 incident, 09.09.2016
Canada transport ministry strongly recommends against using or charging Samsung Galaxy Note 7 smartphones in aircraft cabins, 09.09.2016
Samsung Elec to sell ASML Holding shares for about 606 mln euros - Bloomberg, 08.09.2016
Samsung Canada says immediate availability of product exchange for Galaxy Note7, 07.09.2016
Samsung establishes US product exchange program for Galaxy Note7, 02.09.2016
Exicon signs 1.8 bln won contract with SAMSUNG ELECTRONICS, 23.08.2016
Systems Technology signs 21.4 bln won contract with SAMSUNG ELECTRONICS, 12.08.2016
Samsung to license patent portfolio from Tela Innovations, 08.08.2016
Samsung said in talks to buy assets of Fiat auto-parts unit - Bloomberg, citing sources, 03.08.2016
Samsung Elec says Galaxy S7 sales to be considerably better vs predecessor, 28.07.2016
SAMSUNG ELECTRONICS to pay quarterly dividend as 1,000 won per share for common and preferred stock, 28.07.2016
Samsung Elec says H2 mobile earnings to slow down vs H1, 28.07.2016
JT signs 1.5 bln won contract with SAMSUNG ELECTRONICS, 22.07.2016
ParkerVision inks patent license and settlement agreement with Samsung, 18.07.2016
Toshiba plans to launch mass production of latest 3-D memory chip this fiscal year - Nikkei, 15.07.2016
BYD says portion of shares allocating to Samsung has yet to be decided, 15.07.2016
JT signs contract with Samsung Electronics for 350 mln won, 15.07.2016
LOTVACUUM signs contract worth 1.04 bln won, 13.07.2016
Nokia and Samsung expand their intellectual property cross license, 13.07.2016
Exicon signs contract with Samsung Electronics for 7.54 bln won, 07.07.2016
Eugene Technology signs contract worth 8.53 bln won, 07.07.2016
Genesem signs contract with Samsung Electronics for 1.38 bln won, 01.07.2016
DI signs contract worth 9.53 bln won, 30.06.2016
Samsung to increase OLED displays production with eye toward supplying Apple, others - Nikkei, 17.06.2016
Fitch affirms Samsung Electronics at &#39;A+&#39;; outlook stable, 16.06.2016
Facebook says Oculus Touch will launch later this year with more than 30 full made-for-vr games, 13.06.2016
LOTVACUUM signs contract with Samsung Electronics, 09.06.2016
Cymechs signs contract SAMSUNG ELECTRONICS, 01.06.2016
EugeneTechnology signs contract with SAMSUNG ELECTRONICS, 23.05.2016
Phoenix Semiconductor Philippines announces renewal of Samsung contract&lt;005930.KS&gt;&lt;PSPC.PS&gt;, 18.05.2016
Toshiba&#39;s overseas unit initiates civil rehabilitation procedures, 12.05.2016
Smartphone shipments by Apple and Samsung Electronics likely will shrink for the first time in 2016 - Nikkei, 09.05.2016
Samsung Electronics Co Ltd - Soccer legend Pelé sues Samsung over image in newspaper ad - Reuters News, 29.03.2016
Samsung Electronics declares annual cash dividend for 2015, 27.01.2016
Netlist Inc announces strategic partnership with Samsung Electronics Co Ltd, 19.11.2015
Samsung Electronics to sell entire shares of SAMSUNG FINE CHEMICALS, 29.10.2015
Samsung Electronics Co Ltd may cut 5 pct of its staff in India-Economic Times - Reuters, 21.10.2015
Samsung Electronics Co Ltd - EU regulator hands out 116 mln euros cartel fine for disc drive makers - Reuters, 21.10.2015
Samsung Electronics Co Ltd gives Q3 2015 guidance, 07.10.2015
Samsung Electronics Co Ltd says mobile payments data safe after LoopPay hack - Reuters, 07.10.2015
Gemalto to provide solution for Samsung Gear S2 with 3G connectivity, 06.10.2015
